ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
99FEC93BA843FB20,electric_bike,2021-06-13 14:31:28,2021-06-13 14:34:11,,,,,41.8,-87.59,41.8,-87.6,member
06048DCFC8520CAF,electric_bike,2021-06-04 11:18:02,2021-06-04 11:24:19,,,,,41.79,-87.59,41.8,-87.6,member
9598066F68045DF2,electric_bike,2021-06-04 09:49:35,2021-06-04 09:55:34,,,,,41.8,-87.6,41.79,-87.59,member
B03C0FE48C412214,electric_bike,2021-06-03 19:56:05,2021-06-03 20:21:55,,,,,41.78,-87.58,41.8,-87.6,member
B9EEA89F8FEE73B7,electric_bike,2021-06-04 14:05:51,2021-06-04 14:09:59,,,,,41.8,-87.59,41.79,-87.59,member
62B943CEAAA420BA,electric_bike,2021-06-03 19:32:01,2021-06-03 19:38:46,,,,,41.78,-87.58,41.78,-87.58,member
7E2546FBA79C46EE,electric_bike,2021-06-10 16:30:10,2021-06-10 16:36:21,,,,,41.79,-87.6,41.79,-87.59,member
3DDF3BBF6C4C3C89,electric_bike,2021-06-10 17:00:30,2021-06-10 17:06:48,,,,,41.79,-87.59,41.8,-87.59,member
2608805637155AB6,electric_bike,2021-06-10 12:46:16,2021-06-10 12:55:02,,,,,41.93,-87.67,41.94,-87.68,member
AF529C946F28ED42,electric_bike,2021-06-23 17:57:29,2021-06-23 18:06:40,,,Michigan Ave & Oak St,13042,41.88,-87.61,41.901052166666666,-87.623698,member
E6010941FB92E4A6,electric_bike,2021-06-22 19:28:02,2021-06-22 19:39:48,,,,,41.87,-87.62,41.87,-87.64,member
1149C0723F7AFFD5,electric_bike,2021-06-29 17:35:49,2021-06-29 17:55:11,,,,,41.9,-87.63,41.9,-87.68,member
